street,city,state,geoid,state_code,county_code,tract
226 EAST CANAL DRIVE,GULF SHORES,AL,010030114193004,01,003,011419
3978 WHITE PLAINS ROAD,NEW YORK,NY,,,,
4710 MOFFETT ROAD,MOBILE,AL,010970034022015,01,097,003402
554 W 113 STREET,NEW YORK,NY,360610199004001,36,061,019900
4303 LEES CORNER ROAD,CHANTILLY,VA,510594916022012,51,059,491602
2945 S. WAYNE ROAD,WAYNE,MI,261635665002002,26,163,566500
LA 1 ,GRAND ISLE,LA,,,,
2057 ROUTE 208,MONTGOMERY,NY,360710108012010,36,071,010801
6010 COLUMBIA PIKE,FALLS CHURCH,VA,510594516012006,51,059,451601
1307 DUNWOODY AVENUE,OXON HILL,MD,240338017072006,24,033,801707
301 REACH COURT,BIRMINGHAM,AL,011170303491014,01,117,030349
60 KNOLLS CRESCENT,NEW YORK,NY,,,,
92 FRONT STREET,WEST SPRINGFIELD,MA,250138124033015,25,013,812403
710 SOUTH MEADOWS PARKWAY,RENO,NV,320310022083001,32,031,002208
3810 COUNCIL GROVE AVENUE,PINE LAWN,MO,,,,
1011 E RTE 34,EARLVILLE,IL,170999618003057,17,099,961800
4309 PRAIRIE WAY,MODESTO,CA,,,,
392 FROST STREET,CANTON,MS,280890305011020,28,089,030501
200 SHADY LANE,FRUITLAND,MD,,,,
6932 TORRESDALE AVENUE,PHILADELPHIA,PA,421010325002021,42,101,032500
4709 40TH AVENUE,HYATTSVILLE,MD,240338075002010,24,033,807500
28-29 209 STREET,NEW YORK,NY,,,,
219 EVERCLAY DRIVE,GREECE,NY,360550139011006,36,055,013901
198 JOSEPH STREET,HORSEHEADS,NY,360150108001002,36,015,010800
HIGH STREET DISTRICT REGULATOR STATION,FAIRPORT HARBOR,OH,,,,
4TH. AVE @ 4TH. ST. SW,CAIRO,GA,131319503002040,13,131,950300
WEST FLORISSANT AND LUCAS ,COUNTRY CLUB HILLS,MO,,,,
FIRST STREET AND COOLIDGE AVENUE,LAS VEGAS,NV,320030079003027,32,003,007900
17360 DIAMOND RD,FULTON,IL,171950004002034,17,195,000400
1721 HWY 61/67,CRYSTAL CITY,MO,,,,
3346 YELLOW-FLOWER RD,LAUREL,MD,240037405012003,24,003,740501
38 S. 5TH STREET,FULTON,NY,360750211013013,36,075,021101
ROCHESTER HWY.,SENECA,SC,,,,
2415 BOYD AVE.,BATON ROUGE,LA,220330009002058,22,033,000900
75 KIMBERLY DRIVE,SOUTH WINDSOR,CT,090034873001012,09,003,487300
N. 13TH ,ALLENTOWN,PA,,,,
2400 S BEATRICE,DETROIT,MI,261635247001012,26,163,524700
6345 LOUDON AV,ELKRIDGE,MD,240276012041002,24,027,601204
13 BAILEY ROAD,PARK FOREST,IL,170318294021002,17,031,829402
82 UNIVERSITY PLACE,NEW YORK,NY,360610061001002,36,061,006100
8403 POTOMAC AVENUE,COLLEGE PARK,MD,240338070003004,24,033,807000
WEAVER DAIRY RD NEAR MLK BLVD,CHAPEL HILL,NC,,,,
22 FREEWAY @ BOLSA CHICA,GARDEN GROVE,CA,,,,
748 MANIDA STREET,NEW YORK,NY,,,,
10567 OLD-ELLICOTT CIR,ELLICOTT CITY,MD,,,,
2820 EAST 90TH STREET,CLEVELAND,OH,390351145011036,39,035,114501
DETROIT RD.,AVON,OH,,,,
BROADWAY ST AND COTTONWOOD ST,NEW ULM,MN,270159601021044,27,015,960102
31 MILFORD ST,BINGHAMTON,NY,360070007002001,36,007,000700
10397 ROYAL CREST,TRUCKEE,CA,060570012051020,06,057,001205
306 E 116 ST,NEW YORK,NY,360610188002001,36,061,018800
9816 HOUSTON AVENUE,LAMONT,CA,060290064063003,06,029,006406
UNIVERSITY AVE AND FRY,SAINT PAUL,MN,271230320002017,27,123,032000
FAWCETT ST ,EAST LIVIERPOOL,OH,,,,
885 HOMEWOOD DRIVE,PAINESVILLE,OH,390852044003013,39,085,204400
1160 W. VIRGINIA AVE,DENVER,CO,080310013022003,08,031,001302
14200 JOHN MARSHALL HIGHWAY,GAINESVILLE,VA,511539015071016,51,153,901507
1020 DAVID STREET,MEMPHIS,TN,471570068001002,47,157,006800
1333 ELSON RD,BROOKHAVEN,PA,420454064011003,42,045,406401
3015 ELLICOTT ROAD,BELTSVILLE,MD,240338074075005,24,033,807407
WEST JERSEY ST. NEAR UNION ST.,ELIZABETH,NJ,,,,
11217 WILLAM PLAZA,OMAHA,NE,310550068031015,31,055,006803
320 N. 2ND ST.,ST. CHARLES,IL,170898523002001,17,089,852300
533 EAST 11 STREET,NEW YORK,NY,360610034002000,36,061,003400
INTERSECTION 75 AVE AND MAIN STREET,NEW YORK,NY,,,,
610 CRUGER ROAD,EUREKA,IL,,,,
11818 CROSSROADS PLACE,CONCORD,NC,370250415072012,37,025,041507
3605 E MARGINAL WAY S,SEATTLE,WA,530330093003111,53,033,009300
1411 GRANITE AVE.,BILLINGS,MT,301110006001000,30,111,000600
2121-23 BIENVILLE ST.,NEW ORLEANS,LA,220710049001013,22,071,004900
3311 CITY HEIGHTS RD,ASHLAND,WI,550039504001034,55,003,950400
841 WILLOW VALLEY CT,COOKEVILLE,TN,471410006002009,47,141,000600
2220 LAKE AVE,PUEBLO,CO,081010023002008,08,101,002300
RIVERSIDE AND FRANKLIN AVE,MINNEAPOLIS,MN,,,,
3600 SHAWNEE TRAIL,LAKE WORTH,TX,484391104011000,48,439,110401
135 CRAWFORD STREET,OXFORD,MI,261251215001013,26,125,121500
800 BLOCK OF S. GARRISON ST,LAKEWOOD,CO,,,,
STRINGTOWN ROAD BETWEEN GATEWAY CENTER DRIVE ,CLARKSBURG,MD,,,,
7200 DUPONT AVE NORTH,BROOKLYN CENTER,MN,270530202024004,27,053,020202
4110 78 COURT NO,BROOKLYN PARK,MN,270530268113004,27,053,026811
320 E 2ND,SUPERIOR,NE,311299601002124,31,129,960100
ALGONQUIN ST AND IRQUOIS ST,MORRISTOWN,TN,470631002002039,47,063,100200
44534 VIRGO ROAD,GARRISON,MN,,,,
BIG TIMBER LANE AT MILL SPRING COURT,CHESTERFIELD,MO,291892178532006,29,189,217853
231 MULBERRY ST,UNIONTOWN,KY,212259501002016,21,225,950100
900 BLK LIPAN,CORPUS CHRISTI,TX,483550064003025,48,355,006400
WOODLAKE RD,ALBANY,NY,,,,
5821 SARATOGA,CORPUS CHRISTI,TX,483550054132000,48,355,005413
8163 DORSETT STREET APT. 5A,DOUGLASVILLE,GA,130970803032015,13,097,080303
4TH ST. AND 3RD AVE.,ODESSA,WA,,,,
CHURCH ST. ,BLOOMFIELD,NM,,,,
1518 LINCOLN AVENUE,POMPTON LAKES,NJ,340311964013016,34,031,196401
INTERSECTION OF PELL PL AND BEECHMONT PL,NEW ROCHELLE,NY,,,,
20299 NORTHWEST SQUARE,CUPERTINO,CA,,,,
150 LINCOLN STREET,ELMONT,NY,360594050002001,36,059,405000
28100 SH 249,TOMBALL,TX,,,,
1467 TERRACE STREET,MUSKEGON,MI,261210005004002,26,121,000500
12312 5TH AVE NE,SEATTLE,WA,530330006013001,53,033,000601
12611 LACEY BLVD,HANFORD,CA,060310010013032,06,031,001001
456 MORAN,GROSSE POINTE FARMS,MI,261635507003017,26,163,550700
47 CHESTNUT STREET,WALTHAM,MA,250173685003006,25,017,368500
22 MANNING STREET,READING,MA,250173344004006,25,017,334400
COLLINDALE DISTRICT REGULATING STATION,GRAND RAPIDS,MI,,,,
1988 SE LUND AVE,PORT ORCHARD,WA,530350923003000,53,035,092300
189 CLEVELAND DRIVE,CROTON,NY,,,,
5129 KOSTORYZ,CORPU CHRISTI,TX,483550019051001,48,355,001905
10 MANOR AVENUE,MILLERSVILLE,PA,420710136011015,42,071,013601
SAINT ROSE PARKWAY AND EASTERN AVENUE,HENDERSON,NV,320030028461010,32,003,002846
763 SE HIGH STREET,HILLSBORO,OR,410670325013063,41,067,032501
1623 S. 48TH ST.,SPRINGDALE,AR,051430105123000,05,143,010512
312 WOODROW AVE.,NEW ALBANY,IN,180430703022009,18,043,070302
522 NO. WEWOKA,WETUMKA,OK,400634846002056,40,063,484600
367/369 WAYNE DRIVE,FAIRBORN,OH,390572003002011,39,057,200300
330 MONUMENTAL CIRCLE,SPARKS,NV,320310035032010,32,031,003503
6652 S. KEATING,CHICAGO,IL,170316408002009,17,031,640800
104 MADISON,BUTLER,KY,211919301021058,21,191,930102
5206 RIVER TRAIL PLACE,LOUSIVILLE,KY,211110117071003,21,111,011707
280 OLD HICKORY RIDGE ROAD,WASHINGTON,PA,421257421021003,42,125,742102
17 HERITAGE DRIVE,MOUNT PLEASANT,NY,,,,
4690 KEYSVILLE ROAD,SPRING HILL,FL,120530411032010,12,053,041103
17107 SUNSHINE BAY DR.,HOUSTON,TX,482012405041001,48,201,240504
2164 AVENUE B,SCHENECTADY,NY,360930201022007,36,093,020102
1712 AND 1710 PAYNE AVENUE,AUSTIN,TX,484530015052020,48,453,001505
104 WOOTEN,SUBLETTE,KS,200814631004023,20,081,463100
INTRERSECTION W 175 ST ,NEW YORK,NY,,,,
15098 LAHSER ROAD,DETROIT,MI,261635448002013,26,163,544800
3820 FT. RILEY BLVD.,MANHATTAN,KS,201610006022020,20,161,000602
1905 SW NAVAJO,TOPEKA,KS,201770026012007,20,177,002601
2825 1ST AVE.,SPEARFISH,SD,460819661011110,46,081,966101
3056 LANFRANCO,LOS ANGELES,CA,060372041201004,06,037,204120
4213 S 37TH STREET,OMAHA,NE,310550031004021,31,055,003100
2807 WONG PL,EL PASO,TX,481410103162004,48,141,010316
1213 LEEVILLE PIKE,LEBANON,TN,471890306002013,47,189,030600
N SKYLINE DR. ,OMAHA,NE,,,,
529 W 217 STREET,NEW YORK,NY,360610307002000,36,061,030700
8821 HOWARD-FOREST LA,BALTIMORE,MD,240054037031006,24,005,403703
2111 ACACIA PARK DR,LYNDHURST,OH,390351702022007,39,035,170202
4501 E MAIN,WEATHERFORD,OK,400399607012000,40,039,960701
974 SOUTH J STREET,OAKDALE,CA,060990002052027,06,099,000205
BLACK MOUNTAIN RD. ,HILLSBOROUGH,CA,,,,
AMERICAN FALLS GATE STATION,AMERICAN FALLS,ID,,,,
UNION COUNTY PARKWAY,UNION,NJ,,,,
36 S. UTAH AVENUE,NEWARK,OH,390897541021025,39,089,754102
INTERSECTIION OF HWY 68 ,KILPATRICK,AL,,,,
1446 HECKMAN WAY,SAN JOSE,CA,060855079042007,06,085,507904
217 MASSOLO COURT,SALINAS,CA,060530018012012,06,053,001801
2351 PALAMINO ROAD,LIVERMORE,CA,060014512021064,06,001,451202
2811 SAN BRUNO AVENUE,SAN FRANCISCO,CA,060750257021002,06,075,025702
3286 S. STATE ROAD 43,CHALMERS,IN,,,,
1305 RIEDEL RD,GAMBRILLS,MD,240037022081001,24,003,702208
ALLEY W OF 6TH AND HEYLMAN,FORT SCOTT,KS,,,,
1401 N. LORRAINE AVE,WICHITA,KS,201730009003006,20,173,000900
65 FELLER DRIVE,CENTRAL ISLIP,NY,361031457051002,36,103,145705
313 ATKINSON STREET,ROSEVILLE,CA,060610209083033,06,061,020908
10374 BRAEMAR DR,POWELL,OH,390410114301004,39,041,011430
E. DUARTE ,ARCADIA,CA,,,,
748 INVERNESS,RANCHO MIRAGE,CA,060659406002013,06,065,940600
631 S. SAN JOSE AVENUE,CLAREMONT,CA,060374020012011,06,037,402001
775 CHERRY ST,WAUKEE,IA,190490509011031,19,049,050901
410.5 59TH ST.,WEST PALM BEACH,FL,120990011013017,12,099,001101
PLACITAS DE LUNA / CAMINO FRANCISCA,SANTA FE,NM,,,,
HWY 20 @ HWY 240,SUMMERTOWN,TN,,,,
4619 BALDWIN BLVD,CORPUS CHRISTI,TX,483550008002029,48,355,000800
905 BRIDGER DRIVE,GREEN RIVER,WY,560379706013004,56,037,970601
BROADWAY ,NYACK,NY,,,,
81944 HIGHWAY 111,INDIO,CA,060650452071000,06,065,045207
39395 HALLELUJAH TRAIL,SOLDOTNA,AK,021220004002020,02,122,000400
341 MONTROSE AVENUE,SOUTH ORANGE,NJ,340130191004023,34,013,019100
1045 HAMLIN DR,CORPUS CHRISTI,TX,483550025003008,48,355,002500
11412 VENTURA BLVD.,STUDIO CITY,CA,060371438021005,06,037,143802
4215 TIMBERHILL DRIVE,SAN ANTONIO,TX,480291817252002,48,029,181725
272 REOCK AVENUE,ORANGE,NJ,340130186002009,34,013,018600
3200 BLOCK OF KANSAS AVE,TOPEKA,KS,201770033012024,20,177,003301
27 LAKE WARREN DRIVE,LITTLETON,MA,250173241023009,25,017,324102
866 SCENIC DRIVE,NORTH MUSKEGON,MI,261210016002008,26,121,001600
707 8 AVE S.E.,MINNEAPOLIS,MN,270530038011008,27,053,003801
11 NOE ST,CARTERET,NJ,340230036013000,34,023,003601
15 KENWOOD ROAD,GARDEN CITY,NY,360594066002018,36,059,406600
96 FOREST AVENUE,MASSAPEQUA,NY,360595213022014,36,059,521302
122 SAINT MARKS AVENUE,FREEPORT,NY,360594145012007,36,059,414501
453 WORTHINGTON STREET,SPRINGFIELD,MA,250138012003004,25,013,801200
425 WATER ST,FITCHBURG,MA,250277106022012,25,027,710602
"2, 477 ' W OF WALLACE CREEK RD, HWY 222, MP 4.52",JASPER,OR,,,,
34 GLEN ST.,ALFRED,NY,360039508002077,36,003,950800
N. JACKSON STREET,CAMPBELLSVILLE,KY,,,,
390 FALL RIVER AVE,SEEKONK,MA,250056322001010,25,005,632200
5TH STREET BETWEEN BEACHEY AND DIKE BYPASS (NORTH OF RR TRACKS),LEWISTON,ID,,,,
872 BLUE BELL DRIVE,MINOT,ND,381010113001134,38,101,011300
121 OBION RD,HOUSTON,TX,482012214003005,48,201,221400
1925 CURCH STREET,LAS VEGAS,NM,,,,
2100 E BALL ROAD,ANAHEIM,CA,060590863031002,06,059,086303
35 W. BROOKLINE DRIVE,LAUREL SPRINGS,NJ,340076082092000,34,007,608209
2816 CENTER RD,POLAND,OH,390998110011008,39,099,811001
4420 OVERLOOK LN,LAS CRUCES,NM,350130013183014,35,013,001318
2126 BALER DR.,LAWRENCEBURG,TN,470999605013027,47,099,960501
851 WASHINGTON STREET,HUNTSVILLE,AL,010890030001043,01,089,003000
9208 SOUTH VILLA AVENUE,OKLAHOMA CITY,OK,400272019043003,40,027,201904
520 E. MAIN,LEWISVILLE,TX,481210216181000,48,121,021618
S TACOMA WAY AND SPRAGUE ST,TACOMA,WA,,,,
MT. MISSION RD.,METROPOLIS,IL,,,,
1615 WATER WORKS ROAD,NEWPORT,KY,,,,
3210 HWY 31W,WHITE HOUSE,TN,471650204052002,47,165,020405
60TH STREET AND OAK AVE,ALTOONA,PA,420130105003040,42,013,010500
221 TENNIE,GAINESVILLE,TX,,,,
SWENSON STREET AND COLBY AVENUE,LAS VEGAS,NV,320030068003005,32,003,006800
21 HARRISON ST.,TIFFIN,OH,391479635003015,39,147,963500
71 SUCH DRIVE,ATTLEBORO,MA,250056318001018,25,005,631800
8 MARPLE RD,POUGHKEEPSIE,NY,360271403021001,36,027,140302
166 MOUNT PLEASANT TERRACE,NEWTOWN,CT,090012301002041,09,001,230100
5479 JAY ROAD,BOULDER,CO,080130127053007,08,013,012705
NEAR 910 W 48TH ST,KANSAS CITY,MO,,,,
4232 COOPER AVENUE,ROYAL OAK,MI,261251833002008,26,125,183300
1ST STREET ,GARY,IN,,,,
1501 A STREET,AURORA,NE,310819693001061,31,081,969300
214 LUNENBURG ST,FITCHBURG,MA,250277110001015,25,027,711000
9614 SALTILLO ST,HOUSTON,TX,482012325001019,48,201,232500
4 CHOATE AVENUE,SELDEN,NY,361031581111013,36,103,158111
1710 MARTIN LUTHER KING WAY,BERKELEY,CA,060014223002000,06,001,422300
55-61 PROCTOR STREET,WATERBURY,CT,090093514003000,09,009,351400
1752 N 7TH ST,GRAND JUNCTION,CO,080770005002001,08,077,000500
511 EWING STREET,PRINCETON TOWNSHIP,NJ,340210042061003,34,021,004206
299 PEARL STREET,NEW YORK,NY,360610015013016,36,061,001501
6455 EL CAMINO ROAD,ATASCADERO,CA,,,,
1300 EAST SHAW AVENUE,FRESNO,CA,060190054031002,06,019,005403
7245 SOUTH HWY 165,HYRUM,UT,,,,
1118 E. BRIDGEPORT AVE,SPOKANE,WA,530630015004013,53,063,001500
1811 N GALVEZ STREET,NEW ORLEANS,LA,220710028001010,22,071,002800
426 EAST 4 STREET,MOUNT VERNON,NY,361190034004008,36,119,003400
BRONX STREET AND HAMILTON AVENUE,WHITE PLAINS,NY,,,,
LINCOLN AVENUE AND BROOKSIDE WAY,TOWN OF HARRISON,NY,,,,
144 BRADHURST AVENUE,MOUNT PLEASANT,NY,,,,
MCKEE ROAD AND N CLAREMONT,SAN JOSE,CA,060855039024007,06,085,503902
ALTA VISTA AND LINDEN AVENUE,BAKERSFIELD,CA,,,,
TARRYTOWN ROAD AND YELLOWSTONE AVENUE,TOWN OF GREENBURGH,NY,,,,
1060 KNOLLWOOD ROAD,TOWN OF GREENBURGH,NY,,,,
9411 TUDOR LANE,GARDEN GROVE,CA,060590881052000,06,059,088105
BRADHURST AVE ,TOWN OF MT. PLEASANT,NY,,,,
685 EAST 226 STREET,BRONX,NY,360050408002001,36,005,040800
816 UTAH ST.,TOLEDO,OH,390950051022001,39,095,005102
BRONX STREET AND HAMILTON AVENUE,WHITE PLAINS,NY,,,,
BAYCHESTER AVENUE AND NEREID AVENUE,BRONX,NY,360050444001000,36,005,044400
POPHAM AVENUE AND SOUTH CHURCH LANE,SCARSDALE,NY,361190101003021,36,119,010100
1218 NOBLE AVENUE,BRONX,NY,360050068001001,36,005,006800
INTERSECTION OF 13TH AND FOUNTAIN,WICHITA,KS,,,,
1119 LONGWOOD AVENUE,BRONX,NY,360050093015010,36,005,009301
1060 KNOLLWOOD ROAD,TOWN OF GREENBURGH,NY,,,,
HIGHWAY 280 AT THIRD AVENUE,MOUNT VERNON,GA,,,,
HIGHWAY 84 AT CHURCH STREET,PATTERSON,GA,,,,
LOVE SPRINGS REGULATOR STATION,GREENSBORO,GA,,,,
INTERSECTION OF CASTLE HILL AND WESTCHESTER AVENUES,NEW YORK,NY,,,,
527 BEACH 64TH STREET,ARVERNE,NY,360810964001006,36,081,096400
UPTON AND W. CENTRAL,TOLEDO,OH,,,,
14115 SAINT CLAIR AVE,CLEVELAND,OH,390351173003005,39,035,117300
177 SOUTH HIGHLAND AVENUE,NYACK,NY,360870132002001,36,087,013200
3100 TERMINAL RD S,HOUSTON,TX,,,,
4362 EAST LAKE MEAD BOULEVARD,LAS VEGAS,NV,320030071003004,32,003,007100
11504 BRIARCREEK LOOP,MANOR,TX,484530022182019,48,453,002218
901 NW 7TH,GRAND PRAIRIE,TX,481130155001015,48,113,015500
1876 BOARDWALK AVE,PRESCOTT,AZ,040250004071000,04,025,000407
1605 WINFIELD AVE,VILLAGE OF MAMARONECK,NY,,,,
2800 BOYNE MOUNTAIN ROAD,BOYNE FALLS,MI,260290012001025,26,029,001200
32 GRACE DRIVE,OLD BRIDGE TOWNSHIP,NJ,340230078053001,34,023,007805
4367 GRESHAM DRIVE,EL DORADO HILLS,CA,060170307103007,06,017,030710
20189 4TH STREET,HILMAR,CA,060470004042015,06,047,000404
3116 E. VIENNA ROAD,CLIO,MI,260490125032000,26,049,012503
12340 CONWAY RD,BELTSVILLE,MD,240338074083046,24,033,807408
627 PLEASANT ST,WINTHROP,MA,250251802001005,25,025,180200
ROCKY HILL ROAD ,SMITHFIELD,RI,,,,
15113 S PADRE ISLAND DR,CORPUS CHRISTI,TX,483550062032000,48,355,006203
387 LA CADENA DR,RIVERSIDE,CA,060650423002025,06,065,042300
PLANK STREET  ,BEDFORD,MA,,,,
174 EVANS AVE,BLAIRSVILLE,PA,420639621001006,42,063,962100
8122 HANSOM DRIVE,OAKLAND,CA,060014081003004,06,001,408100
7734 S. VICTOR,TULSA,OK,401430076412000,40,143,007641
529 E. 1ST STREET,GLADWIN,MI,260510007002009,26,051,000700
20TH AVENUE ,TWO HARBORS,MN,,,,
SW CORNER OF 151ST ,OVERLAND PARK,KS,,,,
1705 WASHINGTON ST. - UNITS 176 ,PALATKA,FL,121079508002012,12,107,950800
268 PONDEROSA DR.,KAYENTA,AZ,040179425003042,04,017,942500
24 LAKEVIEW AVENUE,RIPLEY,NY,360130366001011,36,013,036600
366 MAY STREET,ELGIN,IL,170898514005006,17,089,851400
400 ABBEY ROAD,BELINGTON,WV,540839659001031,54,083,965900
1900 SAM HOUSTON PARKWAY @ ALMEDA RD,HOUSTON,TX,482015101002006,48,201,510100
8740 124TH STREET,RICHMOND HILL,NY,,,,
7616 W VARNEY ROAD,PEORIA,AZ,,,,
43240 CORTE ALMONTE,TEMECULA,CA,060650432642001,06,065,043264
201 EAST MYLES AVENUE,PENNSBORO,WV,540859623002037,54,085,962300
13646 LIVE OAK LANE,IRWINDALE,CA,060374046001052,06,037,404600
450 N. PATRIOT DRIVE,HAINESVILLE,IL,170978611083007,17,097,861108
7009 RIDGE BLVD.,BAY RIDGE,NY,,,,
6701 ALMEDA GENOA,HOUSTON,TX,482013337002037,48,201,333700
2601 WESTCHESTER AVENUE,NEW YORK,NY,,,,
291 W CR 600 N,RUSHVILLE,IN,181399741001115,18,139,974100
COUNTY RD 143,Not Within a Municipality,MN,,,,
4268 WELLINGTON HILLS LN,SNELLVILLE,GA,131350507292002,13,135,050729
7546 64TH COURTWAY SOUTH,BIRMINGHAM,AL,010730023031015,01,073,002303
7916 HARWOOD RD,NORTH RICHLAND HILLS,TX,484391132232001,48,439,113223
